,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,num-of-cylinders,engine-size,stroke,price
94,nissan,gas,std,four,sedan,fwd,front,six,181,3.27,13499
95,nissan,gas,std,four,wagon,fwd,front,six,181,3.27,14399
96,nissan,gas,std,four,sedan,fwd,front,six,181,3.27,13499
97,nissan,gas,std,two,hatchback,rwd,front,six,181,3.27,17199
98,nissan,gas,turbo,two,hatchback,rwd,front,six,181,3.27,19699
99,nissan,gas,std,two,hatchback,rwd,front,six,181,3.27,18399
100,peugot,gas,std,four,sedan,rwd,front,four,120,3.19,11900
101,peugot,diesel,turbo,four,sedan,rwd,front,four,152,3.52,13200
102,peugot,gas,std,four,wagon,rwd,front,four,120,3.19,12440
103,peugot,diesel,turbo,four,wagon,rwd,front,four,152,3.52,13860
104,peugot,gas,std,four,sedan,rwd,front,four,120,2.19,15580
105,peugot,diesel,turbo,four,sedan,rwd,front,four,152,3.52,16900
106,peugot,gas,std,four,wagon,rwd,front,four,120,2.19,16695
107,peugot,diesel,turbo,four,wagon,rwd,front,four,152,3.52,17075
108,peugot,gas,std,four,sedan,rwd,front,four,120,3.19,16630
109,peugot,diesel,turbo,four,sedan,rwd,front,four,152,3.52,17950
110,peugot,gas,turbo,four,sedan,rwd,front,four,134,3.21,18150
111,plymouth,gas,std,two,hatchback,fwd,front,four,90,3.23,5572
112,plymouth,gas,turbo,two,hatchback,fwd,front,four,98,3.39,7957
113,plymouth,gas,std,four,hatchback,fwd,front,four,90,3.23,6229
114,plymouth,gas,std,four,sedan,fwd,front,four,90,3.23,6692
115,plymouth,gas,std,four,sedan,fwd,front,four,98,3.23,7609
116,plymouth,gas,std,four,wagon,fwd,front,four,122,3.46,8921
117,plymouth,gas,turbo,two,hatchback,rwd,front,four,156,3.86,12764
118,porsche,gas,std,two,hatchback,rwd,front,four,151,3.11,22018
122,saab,gas,std,two,hatchback,fwd,front,four,121,3.07,11850
123,saab,gas,std,four,sedan,fwd,front,four,121,3.07,12170
124,saab,gas,std,two,hatchback,fwd,front,four,121,2.07,15040
125,saab,gas,std,four,sedan,fwd,front,four,121,3.07,15510
126,saab,gas,turbo,two,hatchback,fwd,front,four,121,3.07,18150
127,saab,gas,turbo,four,sedan,fwd,front,four,121,3.07,18620
128,subaru,gas,std,two,hatchback,fwd,front,four,97,2.36,5118
129,subaru,gas,std,two,hatchback,fwd,front,four,108,2.64,7053
130,subaru,gas,std,two,hatchback,4wd,front,four,108,2.64,7603
131,subaru,gas,std,four,sedan,fwd,front,four,108,2.64,7126
132,subaru,gas,std,four,sedan,fwd,front,four,108,2.64,7775
133,subaru,gas,std,four,sedan,fwd,front,four,108,2.64,9960
134,subaru,gas,std,four,sedan,4wd,front,four,108,2.64,9233
135,subaru,gas,turbo,four,sedan,4wd,front,four,108,2.64,11259
136,subaru,gas,std,four,wagon,fwd,front,four,108,2.64,7463
137,subaru,gas,std,four,wagon,fwd,front,four,108,2.64,10198
138,subaru,gas,std,four,wagon,4wd,front,four,108,2.64,8013
139,subaru,gas,turbo,four,wagon,4wd,front,four,108,2.64,11694
140,toyota,gas,std,two,hatchback,fwd,front,four,92,3.03,5348
141,toyota,gas,std,two,hatchback,fwd,front,four,92,3.03,6338
142,toyota,gas,std,four,hatchback,fwd,front,four,92,3.03,6488
143,toyota,gas,std,four,wagon,fwd,front,four,92,3.03,6918
144,toyota,gas,std,four,wagon,4wd,front,four,92,3.03,7898
145,toyota,gas,std,four,wagon,4wd,front,four,92,3.03,8778
146,toyota,gas,std,four,sedan,fwd,front,four,98,3.03,6938
147,toyota,gas,std,four,hatchback,fwd,front,four,98,3.03,7198
148,toyota,diesel,std,four,sedan,fwd,front,four,110,3.35,7898
149,toyota,diesel,std,four,hatchback,fwd,front,four,110,3.35,7788
150,toyota,gas,std,four,sedan,fwd,front,four,98,3.03,7738
151,toyota,gas,std,four,hatchback,fwd,front,four,98,3.03,8358
152,toyota,gas,std,four,sedan,fwd,front,four,98,3.03,9258
153,toyota,gas,std,two,sedan,rwd,front,four,98,3.03,8058
154,toyota,gas,std,two,hatchback,rwd,front,four,98,3.03,8238
155,toyota,gas,std,two,sedan,rwd,front,four,98,3.08,9298
156,toyota,gas,std,two,hatchback,rwd,front,four,98,3.08,9538
157,toyota,gas,std,two,hardtop,rwd,front,four,146,3.5,8449
158,toyota,gas,std,two,hardtop,rwd,front,four,146,3.5,9639
159,toyota,gas,std,two,hatchback,rwd,front,four,146,3.5,9989
160,toyota,gas,std,two,hardtop,rwd,front,four,146,3.5,11199
161,toyota,gas,std,two,hatchback,rwd,front,four,146,3.5,11549
162,toyota,gas,std,two,convertible,rwd,front,four,146,3.5,17669
163,toyota,gas,std,four,sedan,fwd,front,four,122,3.54,8948
164,toyota,diesel,turbo,four,sedan,fwd,front,four,110,3.35,10698
165,toyota,gas,std,four,hatchback,fwd,front,four,122,3.54,9988
166,toyota,gas,std,four,sedan,fwd,front,four,122,3.54,10898
167,toyota,gas,std,four,hatchback,fwd,front,four,122,3.54,11248
168,toyota,gas,std,two,hatchback,rwd,front,six,171,3.35,16558
169,toyota,gas,std,two,hatchback,rwd,front,six,171,3.35,15998
170,toyota,gas,std,four,sedan,rwd,front,six,171,3.35,15690
171,toyota,gas,std,four,wagon,rwd,front,six,161,3.35,15750
172,volkswagen,diesel,std,two,sedan,fwd,front,four,97,3.4,7775
173,volkswagen,gas,std,two,sedan,fwd,front,four,109,3.4,7975
174,volkswagen,diesel,std,four,sedan,fwd,front,four,97,3.4,7995
175,volkswagen,gas,std,four,sedan,fwd,front,four,109,3.4,8195
176,volkswagen,gas,std,four,sedan,fwd,front,four,109,3.4,8495
177,volkswagen,diesel,turbo,four,sedan,fwd,front,four,97,3.4,9495
178,volkswagen,gas,std,four,sedan,fwd,front,four,109,3.4,9995
179,volkswagen,gas,std,two,convertible,fwd,front,four,109,3.4,11595
180,volkswagen,gas,std,two,hatchback,fwd,front,four,109,3.4,9980
181,volkswagen,gas,std,four,sedan,fwd,front,five,136,3.4,13295
182,volkswagen,diesel,turbo,four,sedan,fwd,front,four,97,3.4,13845
183,volkswagen,gas,std,four,wagon,fwd,front,four,109,3.4,12290
184,volvo,gas,std,four,sedan,rwd,front,four,141,3.15,12940
185,volvo,gas,std,four,wagon,rwd,front,four,141,3.15,13415
186,volvo,gas,std,four,sedan,rwd,front,four,141,3.15,15985
187,volvo,gas,std,four,wagon,rwd,front,four,141,3.15,16515
188,volvo,gas,turbo,four,sedan,rwd,front,four,130,3.15,18420
189,volvo,gas,turbo,four,wagon,rwd,front,four,130,3.15,18950
190,volvo,gas,std,four,sedan,rwd,front,four,141,3.15,16845
191,volvo,gas,turbo,four,sedan,rwd,front,four,141,3.15,19045
192,volvo,gas,std,four,sedan,rwd,front,six,173,2.87,21485
193,volvo,diesel,turbo,four,sedan,rwd,front,six,145,3.4,22470
194,volvo,gas,turbo,four,sedan,rwd,front,four,141,3.15,22625
